step,res,loss
0,16,0.7956956624984741
1,32,0.7988496422767639
2,16,0.6160576939582825
3,32,0.5448879599571228
4,16,0.592492401599884
5,32,0.5825811624526978
6,16,0.5453373193740845
7,32,0.5856060981750488
8,16,0.5349369049072266
9,32,0.5747058987617493
10,16,0.5138928890228271
11,32,0.6335080862045288
12,16,0.5897969007492065
13,32,0.6504416465759277
14,16,0.5696229338645935
15,32,0.544104278087616
16,16,0.514236569404602
17,32,0.5141491293907166
18,16,0.5959962606430054
19,32,0.6134061813354492
20,16,0.5406156778335571
21,32,0.570758044719696
22,16,0.5085095167160034
23,32,0.49152347445487976
24,16,0.5223554372787476
25,32,0.7171212434768677
26,16,0.6107230186462402
27,32,0.5772953629493713
28,16,0.601860523223877
29,32,0.571477472782135
30,16,0.5731721520423889
31,32,0.6305007934570312
32,16,0.5618402361869812
33,32,0.575626015663147
34,16,0.5241645574569702
35,32,0.5838555097579956
36,16,0.5507948994636536
37,32,0.5961458086967468
38,16,0.5536827445030212
39,32,0.6060789227485657
40,16,0.5181835293769836
41,32,0.6125600337982178
42,16,0.5566873550415039
43,32,0.5399385690689087
44,16,0.5407737493515015
45,32,0.4689042866230011
46,16,0.4775509536266327
47,32,0.5945629477500916
48,16,0.5401065945625305
49,32,0.575579047203064
50,16,0.5218280553817749
51,32,0.5475117564201355
52,16,0.5277060866355896
53,32,0.5051814913749695
54,16,0.44770973920822144
55,32,0.5343125462532043
56,16,0.4829655587673187
57,32,0.4708068370819092
58,16,0.4658176302909851
59,32,0.48936644196510315
60,16,0.5259861946105957
61,32,0.47922325134277344
62,16,0.49128732085227966
63,32,0.426187664270401
64,16,0.49973586201667786
65,32,0.469070166349411
66,16,0.5208465456962585
67,32,0.39010292291641235
68,16,0.45464664697647095
69,32,0.5142684578895569
70,16,0.5298670530319214
71,32,0.41459470987319946
72,16,0.49698132276535034
73,32,0.41187599301338196
74,16,0.474887877702713
75,32,0.46881920099258423
76,16,0.4461362659931183
77,32,0.5457149147987366
78,16,0.4435001611709595
79,32,0.41001278162002563
80,16,0.4454253315925598
81,32,0.3830249309539795
82,16,0.49788418412208557
83,32,0.3984750509262085
84,16,0.4886030852794647
85,32,0.3774251341819763
86,16,0.42013049125671387
87,32,0.39247867465019226
88,16,0.44149619340896606
89,32,0.6349968910217285
90,16,0.47837594151496887
91,32,0.6073151230812073
92,16,0.48034197092056274
93,32,0.4928118586540222
94,16,0.5025455951690674
95,32,0.4459725022315979
96,16,0.4603941738605499
97,32,0.6176415085792542
98,16,0.47849300503730774
99,32,0.4578251242637634
100,16,0.45016536116600037
101,32,0.47357016801834106
102,16,0.4282146990299225
103,32,0.5821554660797119
104,16,0.47597455978393555
105,32,0.5037406086921692
106,16,0.4485465884208679
107,32,0.49246397614479065
108,16,0.4744480550289154
109,32,0.5192146301269531
110,16,0.4539240598678589
111,32,0.46778061985969543
112,16,0.5183337926864624
113,32,0.41098856925964355
114,16,0.454792857170105
115,32,0.3983015716075897
116,16,0.463033527135849
117,32,0.47980690002441406
118,16,0.4686271846294403
119,32,0.3957608938217163
120,16,0.4844183027744293
121,32,0.45454177260398865
122,16,0.4508669972419739
123,32,0.43187081813812256
124,16,0.45734113454818726
125,32,0.391223281621933
126,16,0.4528351426124573
127,32,0.4629923105239868
128,16,0.4341186285018921
129,32,0.47364240884780884
130,16,0.4813712239265442
131,32,0.4443812370300293
132,16,0.4113045036792755
133,32,0.37692755460739136
134,16,0.4647863507270813
135,32,0.5509796738624573
136,16,0.45322442054748535
137,32,0.37834879755973816
138,16,0.5091193914413452
139,32,0.4055928885936737
140,16,0.42396119236946106
141,32,0.3384225070476532
142,16,0.46829622983932495
143,32,0.4032871723175049
144,16,0.4201239049434662
145,32,0.4586752951145172
146,16,0.42301711440086365
147,32,0.48490622639656067
148,16,0.4778093993663788
149,32,0.4067629873752594
150,16,0.45744800567626953
151,32,0.462363600730896
152,16,0.4776133894920349
153,32,0.48370054364204407
154,16,0.43611958622932434
155,32,0.5171865820884705
156,16,0.4447874128818512
157,32,0.47331923246383667
158,16,0.45704516768455505
159,32,0.4402717351913452
160,16,0.4395502507686615
161,32,0.41649508476257324
162,16,0.43224677443504333
163,32,0.48847880959510803
164,16,0.4564683139324188
165,32,0.4442221522331238
166,16,0.4721611440181732
167,32,0.49885982275009155
168,16,0.3897777199745178
169,32,0.3889709711074829
170,16,0.4737326204776764
171,32,0.39481234550476074
172,16,0.49247676134109497
173,32,0.42609983682632446
174,16,0.46094056963920593
175,32,0.5212081074714661
176,16,0.41480958461761475
177,32,0.5334969758987427
178,16,0.4193344712257385
179,32,0.4475361704826355
